name;url;colocated
PennApps Winter 2015;https://pennapps2015w.devpost.com/;True
SpartaHack;https://spartahack.devpost.com/;True
Apps for Energy;https://appsforenergy.devpost.com/;False
Cegeka ASF Exploration Day Spring 2017;https://cegeka-asf-spring-2017.devpost.com/;True
PennApps XV;https://pennapps-xv.devpost.com/;True
Hack The Heights 2;https://hacktheheights2.devpost.com/;True
HackPSU Fall 2016;https://hackpsu-fall2016.devpost.com/;True
HackUMass IV;https://hackumass-iv.devpost.com/;True
Electric City Hacks 2017;https://echacks2017.devpost.com/;True
Smart Cities Hackathon 3.0;https://smartcitieshack3.devpost.com/;True
MD5 Physical Cyber Hackathon;https://md5hack-apr18.devpost.com/;True
Women's Hackathon CSU San Marcos October 24, 2015;https://csusmhackathonfa15.devpost.com/;True
Rock & Code Developer Weekend Contest Sponsored by Sony Music Entertainment;https://sonymusicrockcode.devpost.com/;True
MedHacks 2017;https://medhacks2017.devpost.com/;True
T-Mobile Hacktober;https://t-mobile-hacktober.devpost.com/;True
HackPoly 2018;https://hackpoly-2018.devpost.com/;True
Pre-I/O Google Glass Hackathon for Education;https://preioglasshack.devpost.com/;True
PennApps XVI;https://pennapps-xvi.devpost.com/;True
HackPrague;https://hackprague-2017.devpost.com/;True
Cal Hacks 3.0;https://calhacks3.devpost.com/;True
HackWITus2;https://hackwitus2.devpost.com/;True
Harbor Hacks 2017;https://harbor-hacks-2017.devpost.com/;True
Google I/O Extended Santa Barbara @ Citrix;https://sbcitrixio2014.devpost.com/;True
#HackFosterCare Los Angeles;https://hackfostercarela.devpost.com/;True
DubHacks 2015;https://dubhacks15f.devpost.com/;True
Bitcamp 2017;https://bitcamp2017.devpost.com/;True
BitwiseHacks 2016;https://bitwisehacks-2016.devpost.com/;True
Knight Hacks 2017;https://knight-hacks-2017.devpost.com/;True
MasseyHacks;https://masseyhacks.devpost.com/;True
MadHacks Mini;https://madhacks-mini.devpost.com/;True
Future Cities Hackathon;https://futurecitieshack.devpost.com/;True
Ford Mexico Smart Journey;https://fordsmartjourney.devpost.com/;False
HackHPI;https://hackhpi.devpost.com/;True
Atlassian Codegeist: Add-on Hackathon;https://codegeist2015.devpost.com/;False
NUI Central IBM Watson Hackathon;https://ibmwatsonhackathon.devpost.com/;True
HackIndia;https://hackindia.devpost.com/;True
I STAND WITH IMMIGRANTS Hackathon;https://ihmhackathon.devpost.com/;True
CSES Project of the Month (March '15);https://prom-march2015.devpost.com/;True
HackJA;https://hackja.devpost.com/;False
Amazon Alexa Skills Challenge;https://alexa.devpost.com/;False
T9Hacks Spring 2017;https://t9hacks-spring-2017.devpost.com/;True
5CHackathon Fall 2014;https://5chackathon2014f.devpost.com/;True
TartanHacks 2017;https://tartanhacks2017.devpost.com/;False
HackIllinois 2015;https://hackillinois2015s.devpost.com/;True
hackNY Spring 2015 Hackathon;https://hackny-s2015.devpost.com/;True
iHack.Ruhr;https://ihack-ruhr.devpost.com/;True
HackUTD 18';https://hackutd18.devpost.com/;True
